school,BSU,CSU,FSU,SU,TU,UB,UMGC,UMB,UMBC,UMCP,UMES,Total
FA_15,155,62,260,347,"1,303",285,"5,217",345,780,"2,976",115,"11,845"
FA_16,177,56,297,321,"1,448",231,"6,606",400,856,"3,200",113,"13,705"
FA_17,227,61,277,324,"1,619",193,"6,934",401,933,"3,316",126,"14,411"
FA_18,241,70,248,344,"1,733",196,"7,419",459,979,"3,398",128,"15,215"
FA_19,259,67,239,376,"1,816",253,"7,691",489,"1,030","3,283",126,"15,629"
FA_20,254,75,222,388,"1,829",302,"8,165",560,"1,102","3,522",132,"16,551"
FA_21,285,52,226,417,"1,875",295,"7,916",573,"1,101","3,693",109,"16,542"
FA_22,310,55,215,461,"1,874",281,"8,801",604,"1,111","3,666",100,"17,478"
FA_23,348,89,232,505,"1,963",242,"9,784",599,"1,087","3,802",127,"18,778"
FA_24,347,94,240,536,"2,030",175,"10,329",592,"1,204","4,047",111,"19,705"